,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
53,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023403,CrdPrv,8.5,7.5,9.7,"3,888","(47.5806620337, -122.113184041)",5305210.0,53033023403
2444,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023100,CrdPrv,8.0,7.2,9.0,"3,792","(47.6046199741, -122.107334514)",5305210.0,53033023100
4447,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024903,CrdPrv,7.4,6.6,8.4,"6,512","(47.5503481399, -122.14105272)",5305210.0,53033024903
4641,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023201,CrdPrv,6.7,6.1,7.6,"6,223","(47.6186066422, -122.137540888)",5305210.0,53033023201
4646,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023202,CrdPrv,10.5,9.5,11.6,"4,345","(47.6179635713, -122.127072764)",5305210.0,53033023202
4789,2016,WA,Washington,Bellevue,Census Tract,5305210-53033025003,CrdPrv,8.2,7.3,9.2,"4,582","(47.5554377766, -122.112677181)",5305210.0,53033025003
4877,2016,WA,Washington,Bellevue,Census Tract,5305210-53033022901,CrdPrv,8.3,7.3,9.4,"2,924","(47.6365016912, -122.118477161)",5305210.0,53033022901
4888,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023801,CrdPrv,8.5,7.8,9.3,"2,536","(47.5957109335, -122.188698213)",5305210.0,53033023801
5590,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023700,CrdPrv,8.0,7.3,8.8,"3,971","(47.6327126745, -122.173700223)",5305210.0,53033023700
5838,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023300,CrdPrv,10.2,9.2,11.1,"6,217","(47.6002563463, -122.128436395)",5305210.0,53033023300
6041,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023401,CrdPrv,8.4,7.7,9.3,"3,546","(47.58674892, -122.146731553)",5305210.0,53033023401
9109,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023603,CrdPrv,8.9,8.2,9.7,"5,963","(47.6173979477, -122.150805753)",5305210.0,53033023603
10219,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023804,CrdPrv,7.5,6.7,8.5,"3,646","(47.613280467, -122.198465921)",5305210.0,53033023804
10704,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024701,CrdPrv,9.2,8.2,10.2,"3,598","(47.5614786547, -122.180858818)",5305210.0,53033024701
11945,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023601,CrdPrv,8.4,7.5,9.3,"3,812","(47.6104589557, -122.171913884)",5305210.0,53033023601
13813,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024901,CrdPrv,7.1,6.3,8.0,"4,916","(47.5631628483, -122.157784659)",5305210.0,53033024901
15074,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024902,CrdPrv,7.7,7.0,8.6,"2,601","(47.5643288754, -122.134709858)",5305210.0,53033024902
16110,2016,WA,Washington,Bellevue,Census Tract,5305210-53033022801,CrdPrv,7.5,6.8,8.4,"8,314","(47.646432188, -122.153220975)",5305210.0,53033022801
16921,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023900,CrdPrv,8.1,7.4,9.0,"6,625","(47.5829217087, -122.200386905)",5305210.0,53033023900
17598,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023000,CrdPrv,8.4,7.4,9.4,"5,190","(47.6205716865, -122.101363184)",5305210.0,53033023000
17957,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024000,CrdPrv,7.4,6.6,8.2,"7,596","(47.6272503519, -122.20356776)",5305210.0,53033024000
19371,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024702,CrdPrv,8.4,7.5,9.3,"2,510","(47.5470536182, -122.185549908)",5305210.0,53033024702
20605,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023604,CrdPrv,10.0,9.1,10.8,"5,838","(47.5993901316, -122.153949228)",5305210.0,53033023604
22245,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023803,CrdPrv,7.4,6.7,8.2,"3,501","(47.6192541118, -122.197858362)",5305210.0,53033023803
23832,2016,WA,Washington,Bellevue,Census Tract,5305210-53033025006,CrdPrv,8.1,7.2,9.2,"1,173","(47.5421324177, -122.116829646)",5305210.0,53033025006
24145,2016,WA,Washington,Bellevue,Census Tract,5305210-53033024800,CrdPrv,9.8,8.8,10.9,"2,480","(47.5746783747, -122.159590106)",5305210.0,53033024800
24213,2016,WA,Washington,Bellevue,Census Tract,5305210-53033023500,CrdPrv,8.5,7.6,9.5,"3,667","(47.5913829094, -122.172860125)",5305210.0,53033023500
26930,2016,WA,Washington,Bellevue,Census Tract,5305210-53033025001,CrdPrv,7.8,6.9,8.7,"2,379","(47.550260015, -122.170612484)",5305210.0,53033025001
