,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
92,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190601,CrdPrv,13.4,11.8,15.0,"3,768","(29.4721189867, -98.5216808978)",4865000.0,48029190601.0
223,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191406,CrdPrv,8.5,7.6,9.5,"6,468","(29.5981136922, -98.5200082828)",4865000.0,48029191406.0
309,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171200,CrdPrv,16.7,14.8,18.4,"4,384","(29.4364012781, -98.5656426939)",4865000.0,48029171200.0
317,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121112,CrdPrv,11.5,10.4,12.6,"3,771","(29.5558904702, -98.4165534431)",4865000.0,48029121112.0
442,2016,TX,Texas,San Antonio,Census Tract,4865000-48029192300,CrdPrv,8.6,7.8,9.5,"4,448","(29.5619440492, -98.4961426057)",4865000.0,48029192300.0
539,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160400,CrdPrv,13.6,12.5,14.7,"4,557","(29.3903429763, -98.5412402004)",4865000.0,48029160400.0
548,2016,TX,Texas,San Antonio,Census Tract,4865000-48029192200,CrdPrv,12.6,11.6,13.5,"1,264","(29.3389880844, -98.4573171748)",4865000.0,48029192200.0
555,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191006,CrdPrv,13.6,12.6,14.7,"6,674","(29.4864516113, -98.5168593911)",4865000.0,48029191006.0
568,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160300,CrdPrv,13.3,11.8,14.8,"5,228","(29.3912300191, -98.5263990242)",4865000.0,48029160300.0
722,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191411,CrdPrv,9.7,8.8,10.6,"4,434","(29.5675268126, -98.5122170985)",4865000.0,48029191411.0
744,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121508,CrdPrv,15.8,14.0,17.8,58,"(29.5068430783, -98.3663391414)",4865000.0,48029121508.0
780,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181826,CrdPrv,9.6,8.8,10.5,"6,043","(29.5528322698, -98.638676843)",4865000.0,48029181826.0
797,2016,TX,Texas,San Antonio,Census Tract,4865000-48029172007,CrdPrv,8.8,7.9,9.8,540,"(29.4694114065, -98.7163927198)",4865000.0,48029172007.0
864,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171922,CrdPrv,11.1,10.0,12.3,100,"(29.4119823669, -98.6780468871)",4865000.0,48029171922.0
894,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171301,CrdPrv,15.3,13.6,17.0,"2,906","(29.4454139366, -98.567392637)",4865000.0,48029171301.0
936,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181816,CrdPrv,9.4,8.5,10.3,"4,237","(29.5554862481, -98.6079381937)",4865000.0,48029181816.0
1019,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181809,CrdPrv,12.7,11.6,13.9,"6,362","(29.5502248681, -98.6239854406)",4865000.0,48029181809.0
1086,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181820,CrdPrv,15.8,13.4,17.6,"7,202","(29.579049829, -98.6150702306)",4865000.0,48029181820.0
1163,2016,TX,Texas,San Antonio,Census Tract,4865000-48029161801,CrdPrv,11.8,10.9,12.7,"4,028","(29.3847024363, -98.6479598598)",4865000.0,48029161801.0
1396,2016,TX,Texas,San Antonio,Census Tract,4865000-48029170800,CrdPrv,17.9,16.7,19.1,"1,568","(29.4342681593, -98.5477902506)",4865000.0,48029170800.0
1422,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190504,CrdPrv,12.6,11.2,14.0,"2,881","(29.4597561544, -98.5118768057)",4865000.0,48029190504.0
1447,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190604,CrdPrv,13.7,12.2,15.4,"4,438","(29.4746213549, -98.5135765693)",4865000.0,48029190604.0
1746,2016,TX,Texas,San Antonio,Census Tract,4865000-48029131609,CrdPrv,11.7,10.9,12.7,"3,270","(29.506034388, -98.3254547146)",4865000.0,48029131609.0
1763,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160702,CrdPrv,14.4,13.3,15.7,"5,314","(29.3962606218, -98.556947298)",4865000.0,48029160702.0
1765,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141403,CrdPrv,12.0,11.0,13.1,"3,717","(29.3586567723, -98.4272774535)",4865000.0,48029141403.0
1789,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171915,CrdPrv,11.4,10.5,12.4,"2,284","(29.4230862064, -98.6836636776)",4865000.0,48029171915.0
