,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
42,2016,CA,California,Los Angeles,Census Tract,0644000-06037234200,CrdPrv,10.6,9.7,11.6,"2,376","(34.0164074473, -118.331152283)",644000.0,6037234200.0
65,2016,CA,California,Los Angeles,Census Tract,0644000-06037117101,CrdPrv,10.9,9.7,12.0,"4,796","(34.2392075129, -118.462188995)",644000.0,6037117101.0
84,2016,CA,California,Los Angeles,Census Tract,0644000-06037203720,CrdPrv,19.3,17.0,21.2,"4,001","(34.0468935209, -118.203150133)",644000.0,6037203720.0
115,2016,CA,California,Los Angeles,Census Tract,0644000-06037236203,CrdPrv,15.6,14.5,16.8,"3,417","(34.0184551843, -118.346770647)",644000.0,6037236203.0
203,2016,CA,California,Los Angeles,Census Tract,0644000-06037294520,CrdPrv,14.4,12.6,16.2,"3,564","(33.7868323261, -118.265819591)",644000.0,6037294520.0
236,2016,CA,California,Los Angeles,Census Tract,0644000-06037209810,CrdPrv,15.8,14.2,17.3,"2,472","(34.0491172841, -118.282344875)",644000.0,6037209810.0
305,2016,CA,California,Los Angeles,Census Tract,0644000-06037232400,CrdPrv,15.9,14.5,17.3,"6,957","(33.9993835813, -118.31083462)",644000.0,6037232400.0
318,2016,CA,California,Los Angeles,Census Tract,0644000-06037261101,CrdPrv,8.0,7.4,8.8,"3,488","(34.1130434362, -118.40006539)",644000.0,6037261101.0
330,2016,CA,California,Los Angeles,Census Tract,0644000-06037109604,CrdPrv,12.0,10.9,13.0,"2,975","(34.2615445507, -118.465351801)",644000.0,6037109604.0
376,2016,CA,California,Los Angeles,Census Tract,0644000-06037267403,CrdPrv,9.9,8.8,11.3,"3,011","(34.0475446872, -118.456577042)",644000.0,6037267403.0
385,2016,CA,California,Los Angeles,Census Tract,0644000-06037291220,CrdPrv,13.3,12.3,14.4,"3,353","(33.8771395362, -118.286708975)",644000.0,6037291220.0
386,2016,CA,California,Los Angeles,Census Tract,0644000-06037107010,CrdPrv,14.0,12.2,15.7,"3,247","(34.3020803417, -118.44672058)",644000.0,6037107010.0
398,2016,CA,California,Los Angeles,Census Tract,0644000-06037236000,CrdPrv,9.2,8.5,9.9,"4,113","(34.0157532696, -118.364531267)",644000.0,6037236000.0
406,2016,CA,California,Los Angeles,Census Tract,0644000-06037199110,CrdPrv,13.9,12.5,15.3,"2,710","(34.0793616083, -118.197403908)",644000.0,6037199110.0
422,2016,CA,California,Los Angeles,Census Tract,0644000-06037127103,CrdPrv,15.5,14.0,17.1,"2,939","(34.2044973826, -118.429174154)",644000.0,6037127103.0
432,2016,CA,California,Los Angeles,Census Tract,0644000-06037277200,CrdPrv,12.7,11.6,13.8,"2,490","(33.952628845, -118.382238516)",644000.0,6037277200.0
456,2016,CA,California,Los Angeles,Census Tract,0644000-06037120108,CrdPrv,17.7,15.5,19.7,"4,838","(34.2316431637, -118.456148125)",644000.0,6037120108.0
460,2016,CA,California,Los Angeles,Census Tract,0644000-06037208610,CrdPrv,11.6,10.8,12.5,"4,195","(34.0721590664, -118.28177247)",644000.0,6037208610.0
474,2016,CA,California,Los Angeles,Census Tract,0644000-06037228310,CrdPrv,19.1,16.9,21.0,"4,449","(34.0113509388, -118.262416023)",644000.0,6037228310.0
495,2016,CA,California,Los Angeles,Census Tract,0644000-06037232500,CrdPrv,17.7,16.1,19.1,"4,619","(33.992083418, -118.310816655)",644000.0,6037232500.0
515,2016,CA,California,Los Angeles,Census Tract,0644000-06037197410,CrdPrv,9.7,8.9,10.5,"3,704","(34.0929176897, -118.250436135)",644000.0,6037197410.0
516,2016,CA,California,Los Angeles,Census Tract,0644000-06037134424,CrdPrv,8.7,7.7,10.0,"2,887","(34.2124811028, -118.653808952)",644000.0,6037134424.0
530,2016,CA,California,Los Angeles,Census Tract,0644000-06037236204,CrdPrv,18.8,17.2,20.4,"3,203","(34.0147165098, -118.34918956)",644000.0,6037236204.0
558,2016,CA,California,Los Angeles,Census Tract,0644000-06037122120,CrdPrv,13.8,12.2,15.4,"5,000","(34.2107756229, -118.371909421)",644000.0,6037122120.0
562,2016,CA,California,Los Angeles,Census Tract,0644000-06037221710,CrdPrv,14.0,12.4,15.7,"2,621","(34.0346981398, -118.287631641)",644000.0,6037221710.0
593,2016,CA,California,Los Angeles,Census Tract,0644000-06037275101,CrdPrv,9.5,8.7,10.4,"1,177","(33.999158928, -118.403955505)",644000.0,6037275101.0
595,2016,CA,California,Los Angeles,Census Tract,0644000-06037134101,CrdPrv,13.0,11.9,14.0,"4,922","(34.2143035178, -118.566643267)",644000.0,6037134101.0
662,2016,CA,California,Los Angeles,Census Tract,0644000-06037131900,CrdPrv,11.9,10.8,13.0,"4,210","(34.2047192072, -118.509859338)",644000.0,6037131900.0
667,2016,CA,California,Los Angeles,Census Tract,0644000-06037194300,CrdPrv,9.0,8.1,9.9,"3,029","(34.1016657088, -118.387516232)",644000.0,6037194300.0
757,2016,CA,California,Los Angeles,Census Tract,0644000-06037234501,CrdPrv,13.5,12.4,14.7,"2,728","(33.9974947561, -118.324435126)",644000.0,6037234501.0
798,2016,CA,California,Los Angeles,Census Tract,0644000-06037135202,CrdPrv,10.1,9.4,10.8,"4,255","(34.1888181148, -118.636908397)",644000.0,6037135202.0
806,2016,CA,California,Los Angeles,Census Tract,0644000-06037209300,CrdPrv,17.2,15.4,19.0,"5,021","(34.0507299874, -118.268301557)",644000.0,6037209300.0
818,2016,CA,California,Los Angeles,Census Tract,0644000-06037239502,CrdPrv,18.6,17.1,20.0,"3,372","(33.9693295661, -118.263044076)",644000.0,6037239502.0
853,2016,CA,California,Los Angeles,Census Tract,0644000-06037143604,CrdPrv,9.5,8.5,10.7,"3,205","(34.141445637, -118.367714379)",644000.0,6037143604.0
908,2016,CA,California,Los Angeles,Census Tract,0644000-06037192610,CrdPrv,16.7,15.1,18.4,"4,389","(34.0813649582, -118.296153946)",644000.0,6037192610.0
924,2016,CA,California,Los Angeles,Census Tract,0644000-06037127806,CrdPrv,16.1,14.6,17.5,"3,447","(34.1885730464, -118.457235854)",644000.0,6037127806.0
935,2016,CA,California,Los Angeles,Census Tract,0644000-06037127606,CrdPrv,14.2,12.8,15.5,"3,164","(34.1902662293, -118.477789078)",644000.0,6037127606.0
938,2016,CA,California,Los Angeles,Census Tract,0644000-06037296210,CrdPrv,16.1,14.0,18.0,"3,019","(33.7476138448, -118.283952794)",644000.0,6037296210.0
