,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
0,2016,CA,California,Los Angeles,Census Tract,0644000-06037101110,CrdPrv,13.8,12.6,15.1,"4,731","(34.2594736124, -118.292986888)",644000.0,6037101110
1,2016,CA,California,Los Angeles,Census Tract,0644000-06037101122,CrdPrv,10.7,9.7,11.7,"3,664","(34.2677215381, -118.290147139)",644000.0,6037101122
2,2016,CA,California,Los Angeles,Census Tract,0644000-06037101210,CrdPrv,15.7,14.3,16.9,"5,990","(34.2529723884, -118.29073093)",644000.0,6037101210
3,2016,CA,California,Los Angeles,Census Tract,0644000-06037101220,CrdPrv,14.1,12.9,15.3,"3,363","(34.251608492, -118.281632269)",644000.0,6037101220
4,2016,CA,California,Los Angeles,Census Tract,0644000-06037101300,CrdPrv,11.0,9.8,12.3,"4,199","(34.2487781261, -118.270998916)",644000.0,6037101300
5,2016,CA,California,Los Angeles,Census Tract,0644000-06037101400,CrdPrv,12.3,11.1,13.5,"3,903","(34.2428530221, -118.294164132)",644000.0,6037101400
6,2016,CA,California,Los Angeles,Census Tract,0644000-06037102103,CrdPrv,9.9,9.0,10.9,"1,740","(34.2250792017, -118.354188044)",644000.0,6037102103
7,2016,CA,California,Los Angeles,Census Tract,0644000-06037102104,CrdPrv,10.7,9.8,11.6,"3,648","(34.2161867087, -118.345404215)",644000.0,6037102104
8,2016,CA,California,Los Angeles,Census Tract,0644000-06037102105,CrdPrv,12.9,12.1,13.7,"1,731","(34.2098714343, -118.349263911)",644000.0,6037102105
9,2016,CA,California,Los Angeles,Census Tract,0644000-06037102107,CrdPrv,11.5,10.7,12.4,"3,851","(34.24047302, -118.338008066)",644000.0,6037102107
10,2016,CA,California,Los Angeles,Census Tract,0644000-06037103101,CrdPrv,11.7,10.8,12.7,"2,670","(34.2732408147, -118.307887424)",644000.0,6037103101
11,2016,CA,California,Los Angeles,Census Tract,0644000-06037103102,CrdPrv,12.3,11.4,13.2,"4,751","(34.2633842945, -118.307388243)",644000.0,6037103102
12,2016,CA,California,Los Angeles,Census Tract,0644000-06037103200,CrdPrv,13.0,12.1,14.0,"6,146","(34.2722216165, -118.33769961)",644000.0,6037103200
13,2016,CA,California,Los Angeles,Census Tract,0644000-06037103300,CrdPrv,9.7,8.7,10.8,"3,819","(34.2573786607, -118.355477646)",644000.0,6037103300
14,2016,CA,California,Los Angeles,Census Tract,0644000-06037103400,CrdPrv,11.6,10.5,12.6,"6,143","(34.2548353935, -118.313973658)",644000.0,6037103400
15,2016,CA,California,Los Angeles,Census Tract,0644000-06037104103,CrdPrv,12.4,11.2,13.7,"4,085","(34.2820992974, -118.392576354)",644000.0,6037104103
16,2016,CA,California,Los Angeles,Census Tract,0644000-06037104105,CrdPrv,15.4,13.5,17.3,"5,412","(34.2761482316, -118.404686063)",644000.0,6037104105
17,2016,CA,California,Los Angeles,Census Tract,0644000-06037104108,CrdPrv,15.0,13.8,16.2,"5,256","(34.2731497127, -118.398570018)",644000.0,6037104108
18,2016,CA,California,Los Angeles,Census Tract,0644000-06037104124,CrdPrv,11.5,10.5,12.8,"3,652","(34.2794401202, -118.379103232)",644000.0,6037104124
19,2016,CA,California,Los Angeles,Census Tract,0644000-06037104201,CrdPrv,15.9,14.6,17.2,"4,780","(34.2865005947, -118.416099724)",644000.0,6037104201
20,2016,CA,California,Los Angeles,Census Tract,0644000-06037104203,CrdPrv,15.8,14.0,17.6,"5,210","(34.2790581286, -118.41155431)",644000.0,6037104203
21,2016,CA,California,Los Angeles,Census Tract,0644000-06037104204,CrdPrv,15.1,14.1,16.2,"2,886","(34.2894422501, -118.395072665)",644000.0,6037104204
22,2016,CA,California,Los Angeles,Census Tract,0644000-06037104310,CrdPrv,16.0,14.7,17.2,"4,921","(34.2763731834, -118.429281141)",644000.0,6037104310
23,2016,CA,California,Los Angeles,Census Tract,0644000-06037104320,CrdPrv,15.1,13.2,16.8,"5,998","(34.2731324072, -118.420249125)",644000.0,6037104320
24,2016,CA,California,Los Angeles,Census Tract,0644000-06037104401,CrdPrv,15.3,13.4,17.1,"3,357","(34.2670388027, -118.432721629)",644000.0,6037104401
25,2016,CA,California,Los Angeles,Census Tract,0644000-06037104403,CrdPrv,14.1,12.4,15.9,"3,282","(34.2587739444, -118.43448529)",644000.0,6037104403
26,2016,CA,California,Los Angeles,Census Tract,0644000-06037104404,CrdPrv,16.2,14.2,18.0,"3,236","(34.263920671, -118.428691445)",644000.0,6037104404
27,2016,CA,California,Los Angeles,Census Tract,0644000-06037104500,CrdPrv,14.5,12.7,16.4,"3,293","(34.2555108924, -118.425748024)",644000.0,6037104500
28,2016,CA,California,Los Angeles,Census Tract,0644000-06037104610,CrdPrv,15.1,13.4,16.8,"3,672","(34.2604355657, -118.418992862)",644000.0,6037104610
29,2016,CA,California,Los Angeles,Census Tract,0644000-06037104620,CrdPrv,14.5,12.8,16.1,"3,539","(34.2579043724, -118.422464804)",644000.0,6037104620
30,2016,CA,California,Los Angeles,Census Tract,0644000-06037104701,CrdPrv,20.2,18.1,22.2,"4,208","(34.268474486, -118.415213851)",644000.0,6037104701
31,2016,CA,California,Los Angeles,Census Tract,0644000-06037104703,CrdPrv,17.2,14.9,19.5,"2,397","(34.2552324771, -118.40059038)",644000.0,6037104703
32,2016,CA,California,Los Angeles,Census Tract,0644000-06037104704,CrdPrv,14.5,13.1,16.0,"4,219","(34.2625316415, -118.408863695)",644000.0,6037104704
33,2016,CA,California,Los Angeles,Census Tract,0644000-06037104810,CrdPrv,14.4,12.5,16.2,"5,328","(34.2502996266, -118.411179254)",644000.0,6037104810
34,2016,CA,California,Los Angeles,Census Tract,0644000-06037104821,CrdPrv,14.3,12.5,16.1,"3,514","(34.2465705263, -118.416295602)",644000.0,6037104821
35,2016,CA,California,Los Angeles,Census Tract,0644000-06037104822,CrdPrv,14.8,13.0,16.6,"2,277","(34.2458338715, -118.420923913)",644000.0,6037104822
36,2016,CA,California,Los Angeles,Census Tract,0644000-06037106010,CrdPrv,12.6,11.4,13.8,"3,152","(34.3253360674, -118.443410906)",644000.0,6037106010
37,2016,CA,California,Los Angeles,Census Tract,0644000-06037106020,CrdPrv,12.5,11.1,13.9,"5,557","(34.3212768892, -118.428380271)",644000.0,6037106020
38,2016,CA,California,Los Angeles,Census Tract,0644000-06037106111,CrdPrv,11.7,10.6,12.9,"4,334","(34.3188906396, -118.409861394)",644000.0,6037106111
39,2016,CA,California,Los Angeles,Census Tract,0644000-06037106112,CrdPrv,11.9,10.7,13.2,"5,969","(34.3054784652, -118.412447181)",644000.0,6037106112
40,2016,CA,California,Los Angeles,Census Tract,0644000-06037106113,CrdPrv,10.8,9.6,12.1,"3,493","(34.3061792841, -118.422236916)",644000.0,6037106113
41,2016,CA,California,Los Angeles,Census Tract,0644000-06037106114,CrdPrv,14.3,13.0,15.6,"5,880","(34.3027270417, -118.426990691)",644000.0,6037106114
42,2016,CA,California,Los Angeles,Census Tract,0644000-06037106403,CrdPrv,13.6,12.0,15.2,"3,825","(34.3060186758, -118.441274239)",644000.0,6037106403
43,2016,CA,California,Los Angeles,Census Tract,0644000-06037106405,CrdPrv,15.2,13.7,16.8,"3,966","(34.3146809046, -118.448292799)",644000.0,6037106405
44,2016,CA,California,Los Angeles,Census Tract,0644000-06037106406,CrdPrv,10.5,9.4,11.7,"4,962","(34.3223862216, -118.460187825)",644000.0,6037106406
45,2016,CA,California,Los Angeles,Census Tract,0644000-06037106407,CrdPrv,14.7,13.1,16.2,"2,933","(34.3105741963, -118.43655716)",644000.0,6037106407
46,2016,CA,California,Los Angeles,Census Tract,0644000-06037106408,CrdPrv,16.3,14.3,18.2,"3,463","(34.3132613231, -118.440077709)",644000.0,6037106408
47,2016,CA,California,Los Angeles,Census Tract,0644000-06037106510,CrdPrv,10.7,9.5,11.9,"5,108","(34.3235640135, -118.485084841)",644000.0,6037106510
48,2016,CA,California,Los Angeles,Census Tract,0644000-06037106520,CrdPrv,13.7,12.2,15.3,"5,837","(34.3088574805, -118.461352505)",644000.0,6037106520
49,2016,CA,California,Los Angeles,Census Tract,0644000-06037106603,CrdPrv,8.9,8.0,9.9,"2,979","(34.3125978783, -118.520478512)",644000.0,6037106603
50,2016,CA,California,Los Angeles,Census Tract,0644000-06037106604,CrdPrv,14.0,12.5,15.6,"5,020","(34.3044426355, -118.473674779)",644000.0,6037106604
51,2016,CA,California,Los Angeles,Census Tract,0644000-06037106641,CrdPrv,8.9,7.9,10.0,"2,317","(34.2984691126, -118.508433099)",644000.0,6037106641
52,2016,CA,California,Los Angeles,Census Tract,0644000-06037106642,CrdPrv,9.4,8.6,10.3,"3,236","(34.286322643, -118.50701369)",644000.0,6037106642
53,2016,CA,California,Los Angeles,Census Tract,0644000-06037106643,CrdPrv,8.5,7.6,9.5,"4,320","(34.2894539879, -118.522016825)",644000.0,6037106643
54,2016,CA,California,Los Angeles,Census Tract,0644000-06037106645,CrdPrv,8.5,7.7,9.4,"3,389","(34.2905630964, -118.494173026)",644000.0,6037106645
55,2016,CA,California,Los Angeles,Census Tract,0644000-06037106646,CrdPrv,10.7,9.7,11.6,"3,237","(34.279737959, -118.49394483)",644000.0,6037106646
